Comunidades y Ciudades Autónomas;Dificultad para llegar a fin de mes;Periodo;Total
Total Nacional;Con mucha facilidad;2008;0,9
Total Nacional;Con mucha facilidad;2007;1,2
Total Nacional;Con mucha facilidad;2006;1
Total Nacional;Con mucha facilidad;2005;0,9
Total Nacional;Con mucha facilidad;2004;0,7
Total Nacional;No consta;2024;0,3
Total Nacional;No consta;2023;0,3
Total Nacional;No consta;2022;0,2
Total Nacional;No consta;2021;0
Total Nacional;No consta;2020;0,1
Total Nacional;No consta;2019;0,1
Total Nacional;No consta;2018;..
Total Nacional;No consta;2017;..
Total Nacional;No consta;2016;..
Total Nacional;No consta;2015;0
Total Nacional;No consta;2014;0
Total Nacional;No consta;2013;..
Total Nacional;No consta;2012;..
Total Nacional;No consta;2011;..
Total Nacional;No consta;2010;0
Total Nacional;No consta;2009;0
Total Nacional;No consta;2008;0
Total Nacional;No consta;2007;0,1
Total Nacional;No consta;2006;0,1
Total Nacional;No consta;2005;0,3
Total Nacional;No consta;2004;0,2
01 Andalucía;Con mucha dificultad;2024;10,9
01 Andalucía;Con mucha dificultad;2023;13,6
01 Andalucía;Con mucha dificultad;2022;11,7
01 Andalucía;Con mucha dificultad;2021;12,5
01 Andalucía;Con mucha dificultad;2020;14,8
01 Andalucía;Con mucha dificultad;2019;10,8
01 Andalucía;Con mucha dificultad;2018;17,4
01 Andalucía;Con mucha dificultad;2017;14,2
01 Andalucía;Con mucha dificultad;2016;25,3
01 Andalucía;Con mucha dificultad;2015;16,9
01 Andalucía;Con mucha dificultad;2014;25,8
01 Andalucía;Con mucha dificultad;2013;26,1
01 Andalucía;Con mucha dificultad;2012;21,8
01 Andalucía;Con mucha dificultad;2011;18,1
01 Andalucía;Con mucha dificultad;2010;23,3
01 Andalucía;Con mucha dificultad;2009;20,4
01 Andalucía;Con mucha dificultad;2008;17,2
01 Andalucía;Con mucha dificultad;2007;14,7
01 Andalucía;Con mucha dificultad;2006;18
01 Andalucía;Con mucha dificultad;2005;13,6
01 Andalucía;Con mucha dificultad;2004;17,7
01 Andalucía;Con dificultad;2024;16,5
01 Andalucía;Con dificultad;2023;16
01 Andalucía;Con dificultad;2022;18
01 Andalucía;Con dificultad;2021;15,4
01 Andalucía;Con dificultad;2020;16,4
01 Andalucía;Con dificultad;2019;17,5
01 Andalucía;Con dificultad;2018;22
01 Andalucía;Con dificultad;2017;21,7
01 Andalucía;Con dificultad;2016;26,9
01 Andalucía;Con dificultad;2015;26,2
01 Andalucía;Con dificultad;2014;27,4
01 Andalucía;Con dificultad;2013;22,1
01 Andalucía;Con dificultad;2012;22,5
01 Andalucía;Con dificultad;2011;20,4
01 Andalucía;Con dificultad;2010;22
01 Andalucía;Con dificultad;2009;21,3
01 Andalucía;Con dificultad;2008;21,2
01 Andalucía;Con dificultad;2007;19,1
01 Andalucía;Con dificultad;2006;23,8
01 Andalucía;Con dificultad;2005;17,6
01 Andalucía;Con dificultad;2004;24,4
01 Andalucía;Con cierta dificultad;2024;27,4
01 Andalucía;Con cierta dificultad;2023;27,3
01 Andalucía;Con cierta dificultad;2022;24,8
01 Andalucía;Con cierta dificultad;2021;26,9
01 Andalucía;Con cierta dificultad;2020;21,9
01 Andalucía;Con cierta dificultad;2019;32,7
01 Andalucía;Con cierta dificultad;2018;28,8
01 Andalucía;Con cierta dificultad;2017;32,8
01 Andalucía;Con cierta dificultad;2016;25,9
01 Andalucía;Con cierta dificultad;2015;33,8
01 Andalucía;Con cierta dificultad;2014;25
01 Andalucía;Con cierta dificultad;2013;27,2
01 Andalucía;Con cierta dificultad;2012;27,3
01 Andalucía;Con cierta dificultad;2011;32
01 Andalucía;Con cierta dificultad;2010;28,6
01 Andalucía;Con cierta dificultad;2009;30,1
01 Andalucía;Con cierta dificultad;2008;33,7
01 Andalucía;Con cierta dificultad;2007;34,8
01 Andalucía;Con cierta dificultad;2006;31,8
01 Andalucía;Con cierta dificultad;2005;38,8
01 Andalucía;Con cierta dificultad;2004;32,7
01 Andalucía;Con cierta facilidad;2024;27
01 Andalucía;Con cierta facilidad;2023;25,2
01 Andalucía;Con cierta facilidad;2022;27,7
01 Andalucía;Con cierta facilidad;2021;26,2
01 Andalucía;Con cierta facilidad;2020;29,7
01 Andalucía;Con cierta facilidad;2019;30,2
01 Andalucía;Con cierta facilidad;2018;24
01 Andalucía;Con cierta facilidad;2017;23,1
01 Andalucía;Con cierta facilidad;2016;17,3
01 Andalucía;Con cierta facilidad;2015;18,4
01 Andalucía;Con cierta facilidad;2014;16
01 Andalucía;Con cierta facilidad;2013;16,8
01 Andalucía;Con cierta facilidad;2012;20,2
01 Andalucía;Con cierta facilidad;2011;20,4
01 Andalucía;Con cierta facilidad;2010;19,1
01 Andalucía;Con cierta facilidad;2009;19,1
01 Andalucía;Con cierta facilidad;2008;19,2
01 Andalucía;Con cierta facilidad;2007;21,1
01 Andalucía;Con cierta facilidad;2006;18,9
01 Andalucía;Con cierta facilidad;2005;23,7
01 Andalucía;Con cierta facilidad;2004;19,5
01 Andalucía;Con facilidad;2024;15,6
01 Andalucía;Con facilidad;2023;15,6
01 Andalucía;Con facilidad;2022;15,4
01 Andalucía;Con facilidad;2021;16,1
01 Andalucía;Con facilidad;2020;15,4
01 Andalucía;Con facilidad;2019;8
01 Andalucía;Con facilidad;2018;7,1
01 Andalucía;Con facilidad;2017;7,5
01 Andalucía;Con facilidad;2016;4,2
01 Andalucía;Con facilidad;2015;4,5
01 Andalucía;Con facilidad;2014;5,3
01 Andalucía;Con facilidad;2013;7,2
01 Andalucía;Con facilidad;2012;7,9
01 Andalucía;Con facilidad;2011;8,1
01 Andalucía;Con facilidad;2010;6,4
01 Andalucía;Con facilidad;2009;7,7
01 Andalucía;Con facilidad;2008;8
01 Andalucía;Con facilidad;2007;8,9
01 Andalucía;Con facilidad;2006;7,1
01 Andalucía;Con facilidad;2005;5,6
01 Andalucía;Con facilidad;2004;5,3
01 Andalucía;Con mucha facilidad;2024;2,2
01 Andalucía;Con mucha facilidad;2023;1,9
01 Andalucía;Con mucha facilidad;2022;2,2
01 Andalucía;Con mucha facilidad;2021;3
01 Andalucía;Con mucha facilidad;2020;1,8
01 Andalucía;Con mucha facilidad;2019;0,8
01 Andalucía;Con mucha facilidad;2018;0,7
01 Andalucía;Con mucha facilidad;2017;0,7
01 Andalucía;Con mucha facilidad;2016;0,5
01 Andalucía;Con mucha facilidad;2015;0,2
01 Andalucía;Con mucha facilidad;2014;0,4
01 Andalucía;Con mucha facilidad;2013;0,6
01 Andalucía;Con mucha facilidad;2012;0,3
01 Andalucía;Con mucha facilidad;2011;1
01 Andalucía;Con mucha facilidad;2010;0,6
01 Andalucía;Con mucha facilidad;2009;1,4
01 Andalucía;Con mucha facilidad;2008;0,7
01 Andalucía;Con mucha facilidad;2007;1,2
01 Andalucía;Con mucha facilidad;2006;0,4
01 Andalucía;Con mucha facilidad;2005;0,6
01 Andalucía;Con mucha facilidad;2004;0,3
01 Andalucía;No consta;2024;0,4
01 Andalucía;No consta;2023;0,5
01 Andalucía;No consta;2022;0,2
01 Andalucía;No consta;2021;..
01 Andalucía;No consta;2020;0
01 Andalucía;No consta;2019;0
01 Andalucía;No consta;2018;..
01 Andalucía;No consta;2017;..
01 Andalucía;No consta;2016;..
01 Andalucía;No consta;2015;..
01 Andalucía;No consta;2014;..
01 Andalucía;No consta;2013;..
01 Andalucía;No consta;2012;..
01 Andalucía;No consta;2011;..
01 Andalucía;No consta;2010;0
01 Andalucía;No consta;2009;..
01 Andalucía;No consta;2008;..
01 Andalucía;No consta;2007;0,1
01 Andalucía;No consta;2006;0
01 Andalucía;No consta;2005;..
01 Andalucía;No consta;2004;0
02 Aragón;Con mucha dificultad;2024;10,2
02 Aragón;Con mucha dificultad;2023;9,6
02 Aragón;Con mucha dificultad;2022;6,9
02 Aragón;Con mucha dificultad;2021;7,5
02 Aragón;Con mucha dificultad;2020;5,5
02 Aragón;Con mucha dificultad;2019;3,4
02 Aragón;Con mucha dificultad;2018;4,5
02 Aragón;Con mucha dificultad;2017;4
02 Aragón;Con mucha dificultad;2016;5,3
02 Aragón;Con mucha dificultad;2015;6,5
02 Aragón;Con mucha dificultad;2014;10,5
02 Aragón;Con mucha dificultad;2013;15,8
02 Aragón;Con mucha dificultad;2012;5,3
02 Aragón;Con mucha dificultad;2011;4,7
02 Aragón;Con mucha dificultad;2010;5
02 Aragón;Con mucha dificultad;2009;4,2
02 Aragón;Con mucha dificultad;2008;3,1
02 Aragón;Con mucha dificultad;2007;5,6
02 Aragón;Con mucha dificultad;2006;7,2
02 Aragón;Con mucha dificultad;2005;5,3
02 Aragón;Con mucha dificultad;2004;4,1
02 Aragón;Con dificultad;2024;9,4
02 Aragón;Con dificultad;2023;9,1
02 Aragón;Con dificultad;2022;10,6
02 Aragón;Con dificultad;2021;7,6
02 Aragón;Con dificultad;2020;7
02 Aragón;Con dificultad;2019;7,3
02 Aragón;Con dificultad;2018;11,1
02 Aragón;Con dificultad;2017;11,7
02 Aragón;Con dificultad;2016;19,3
02 Aragón;Con dificultad;2015;14,2
02 Aragón;Con dificultad;2014;15,1
02 Aragón;Con dificultad;2013;20,4
02 Aragón;Con dificultad;2012;13,9
02 Aragón;Con dificultad;2011;12,5
02 Aragón;Con dificultad;2010;12,5
02 Aragón;Con dificultad;2009;9,6
02 Aragón;Con dificultad;2008;9,7
02 Aragón;Con dificultad;2007;9,5
02 Aragón;Con dificultad;2006;10
02 Aragón;Con dificultad;2005;14,1
02 Aragón;Con dificultad;2004;11,6
02 Aragón;Con cierta dificultad;2024;21,1
02 Aragón;Con cierta dificultad;2023;24,8
02 Aragón;Con cierta dificultad;2022;21,4
02 Aragón;Con cierta dificultad;2021;19,7
02 Aragón;Con cierta dificultad;2020;15,7
02 Aragón;Con cierta dificultad;2019;26,6
02 Aragón;Con cierta dificultad;2018;28,9
02 Aragón;Con cierta dificultad;2017;16
02 Aragón;Con cierta dificultad;2016;18,7
02 Aragón;Con cierta dificultad;2015;26,6
02 Aragón;Con cierta dificultad;2014;28,3
02 Aragón;Con cierta dificultad;2013;23,9
02 Aragón;Con cierta dificultad;2012;35,3
02 Aragón;Con cierta dificultad;2011;19
02 Aragón;Con cierta dificultad;2010;24,3
02 Aragón;Con cierta dificultad;2009;22,9
02 Aragón;Con cierta dificultad;2008;31,4
02 Aragón;Con cierta dificultad;2007;23,5
02 Aragón;Con cierta dificultad;2006;20,9
02 Aragón;Con cierta dificultad;2005;21,2
02 Aragón;Con cierta dificultad;2004;22,7
02 Aragón;Con cierta facilidad;2024;30,2
02 Aragón;Con cierta facilidad;2023;29,3
02 Aragón;Con cierta facilidad;2022;30,5
02 Aragón;Con cierta facilidad;2021;30,6
02 Aragón;Con cierta facilidad;2020;39,3
02 Aragón;Con cierta facilidad;2019;40,4
02 Aragón;Con cierta facilidad;2018;38,2
02 Aragón;Con cierta facilidad;2017;43,6
02 Aragón;Con cierta facilidad;2016;33,8
02 Aragón;Con cierta facilidad;2015;37,2
02 Aragón;Con cierta facilidad;2014;24,8
02 Aragón;Con cierta facilidad;2013;22,5
02 Aragón;Con cierta facilidad;2012;37,6
02 Aragón;Con cierta facilidad;2011;34,3
02 Aragón;Con cierta facilidad;2010;36
02 Aragón;Con cierta facilidad;2009;37,9
02 Aragón;Con cierta facilidad;2008;34,7
02 Aragón;Con cierta facilidad;2007;32,9
02 Aragón;Con cierta facilidad;2006;36,6
02 Aragón;Con cierta facilidad;2005;35,1
02 Aragón;Con cierta facilidad;2004;37,6
02 Aragón;Con facilidad;2024;24
02 Aragón;Con facilidad;2023;21,9
02 Aragón;Con facilidad;2022;26
02 Aragón;Con facilidad;2021;28,7
02 Aragón;Con facilidad;2020;30,5
02 Aragón;Con facilidad;2019;20,4
02 Aragón;Con facilidad;2018;15,9
02 Aragón;Con facilidad;2017;23,3
02 Aragón;Con facilidad;2016;22,3
02 Aragón;Con facilidad;2015;14,4
02 Aragón;Con facilidad;2014;19,9
02 Aragón;Con facilidad;2013;16
02 Aragón;Con facilidad;2012;7,5
02 Aragón;Con facilidad;2011;27,5
02 Aragón;Con facilidad;2010;20,6
02 Aragón;Con facilidad;2009;23
02 Aragón;Con facilidad;2008;20,5
02 Aragón;Con facilidad;2007;27
02 Aragón;Con facilidad;2006;24,7
02 Aragón;Con facilidad;2005;21,8
02 Aragón;Con facilidad;2004;23,1
02 Aragón;Con mucha facilidad;2024;4,8
02 Aragón;Con mucha facilidad;2023;4,9
02 Aragón;Con mucha facilidad;2022;4,5
02 Aragón;Con mucha facilidad;2021;5,9
02 Aragón;Con mucha facilidad;2020;2
02 Aragón;Con mucha facilidad;2019;1,9
02 Aragón;Con mucha facilidad;2018;1,5
02 Aragón;Con mucha facilidad;2017;1,4
02 Aragón;Con mucha facilidad;2016;0,5
02 Aragón;Con mucha facilidad;2015;1,1
02 Aragón;Con mucha facilidad;2014;1,3
02 Aragón;Con mucha facilidad;2013;1,4
02 Aragón;Con mucha facilidad;2012;0,4
02 Aragón;Con mucha facilidad;2011;2,1
02 Aragón;Con mucha facilidad;2010;1,5
02 Aragón;Con mucha facilidad;2009;2,5
02 Aragón;Con mucha facilidad;2008;0,6
02 Aragón;Con mucha facilidad;2007;1,3
02 Aragón;Con mucha facilidad;2006;0,6
02 Aragón;Con mucha facilidad;2005;2,4
02 Aragón;Con mucha facilidad;2004;0,8
02 Aragón;No consta;2024;0,3
02 Aragón;No consta;2023;0,4
02 Aragón;No consta;2022;0,2
02 Aragón;No consta;2021;..
02 Aragón;No consta;2020;0,1
02 Aragón;No consta;2019;..
02 Aragón;No consta;2018;..
02 Aragón;No consta;2017;..
02 Aragón;No consta;2016;..
02 Aragón;No consta;2015;..
02 Aragón;No consta;2014;..
02 Aragón;No consta;2013;..
02 Aragón;No consta;2012;..
02 Aragón;No consta;2011;..
02 Aragón;No consta;2010;..
02 Aragón;No consta;2009;..
02 Aragón;No consta;2008;..
02 Aragón;No consta;2007;0,2
02 Aragón;No consta;2006;..
02 Aragón;No consta;2005;..
02 Aragón;No consta;2004;0,2
03 Asturias, Principado de;Con mucha dificultad;2024;7,1
03 Asturias, Principado de;Con mucha dificultad;2023;5,6
03 Asturias, Principado de;Con mucha dificultad;2022;6,5
03 Asturias, Principado de;Con mucha dificultad;2021;6,7
03 Asturias, Principado de;Con mucha dificultad;2020;9,3
03 Asturias, Principado de;Con mucha dificultad;2019;9,4
03 Asturias, Principado de;Con mucha dificultad;2018;9,1
03 Asturias, Principado de;Con mucha dificultad;2017;10,7
03 Asturias, Principado de;Con mucha dificultad;2016;5,2
03 Asturias, Principado de;Con mucha dificultad;2015;9,1
03 Asturias, Principado de;Con mucha dificultad;2014;5,9
03 Asturias, Principado de;Con mucha dificultad;2013;8,8
03 Asturias, Principado de;Con mucha dificultad;2012;7
03 Asturias, Principado de;Con mucha dificultad;2011;3,3
03 Asturias, Principado de;Con mucha dificultad;2010;5,8
03 Asturias, Principado de;Con mucha dificultad;2009;8,1
03 Asturias, Principado de;Con mucha dificultad;2008;4,5
03 Asturias, Principado de;Con mucha dificultad;2007;7,2
03 Asturias, Principado de;Con mucha dificultad;2006;3,2
03 Asturias, Principado de;Con mucha dificultad;2005;4,4
03 Asturias, Principado de;Con mucha dificultad;2004;6,8
03 Asturias, Principado de;Con dificultad;2024;8,3
03 Asturias, Principado de;Con dificultad;2023;9,4
03 Asturias, Principado de;Con dificultad;2022;9,1
03 Asturias, Principado de;Con dificultad;2021;10,1
03 Asturias, Principado de;Con dificultad;2020;8,4
03 Asturias, Principado de;Con dificultad;2019;8,9
03 Asturias, Principado de;Con dificultad;2018;13,1
03 Asturias, Principado de;Con dificultad;2017;14,5
03 Asturias, Principado de;Con dificultad;2016;15,8
03 Asturias, Principado de;Con dificultad;2015;21,7
03 Asturias, Principado de;Con dificultad;2014;21,2
03 Asturias, Principado de;Con dificultad;2013;14,7
03 Asturias, Principado de;Con dificultad;2012;12,3
03 Asturias, Principado de;Con dificultad;2011;7,7
03 Asturias, Principado de;Con dificultad;2010;12,1
03 Asturias, Principado de;Con dificultad;2009;13,1
03 Asturias, Principado de;Con dificultad;2008;9,1
03 Asturias, Principado de;Con dificultad;2007;12,8
03 Asturias, Principado de;Con dificultad;2006;12,2
03 Asturias, Principado de;Con dificultad;2005;12,5
03 Asturias, Principado de;Con dificultad;2004;11,6
03 Asturias, Principado de;Con cierta dificultad;2024;20,2
03 Asturias, Principado de;Con cierta dificultad;2023;22,2
03 Asturias, Principado de;Con cierta dificultad;2022;23,8
03 Asturias, Principado de;Con cierta dificultad;2021;15,8
03 Asturias, Principado de;Con cierta dificultad;2020;16,3
03 Asturias, Principado de;Con cierta dificultad;2019;18,5
03 Asturias, Principado de;Con cierta dificultad;2018;20,1
03 Asturias, Principado de;Con cierta dificultad;2017;20,7
03 Asturias, Principado de;Con cierta dificultad;2016;22,4
03 Asturias, Principado de;Con cierta dificultad;2015;24,9
03 Asturias, Principado de;Con cierta dificultad;2014;24,9
03 Asturias, Principado de;Con cierta dificultad;2013;24,3
03 Asturias, Principado de;Con cierta dificultad;2012;26,6
03 Asturias, Principado de;Con cierta dificultad;2011;27
03 Asturias, Principado de;Con cierta dificultad;2010;26,2
03 Asturias, Principado de;Con cierta dificultad;2009;28,8
03 Asturias, Principado de;Con cierta dificultad;2008;32,4
03 Asturias, Principado de;Con cierta dificultad;2007;24,5
03 Asturias, Principado de;Con cierta dificultad;2006;32,2
03 Asturias, Principado de;Con cierta dificultad;2005;30,6
03 Asturias, Principado de;Con cierta dificultad;2004;35,7
03 Asturias, Principado de;Con cierta facilidad;2024;35,8
03 Asturias, Principado de;Con cierta facilidad;2023;35,7
03 Asturias, Principado de;Con cierta facilidad;2022;31,8
03 Asturias, Principado de;Con cierta facilidad;2021;35,5
03 Asturias, Principado de;Con cierta facilidad;2020;38,3
03 Asturias, Principado de;Con cierta facilidad;2019;33,8
03 Asturias, Principado de;Con cierta facilidad;2018;34,6
03 Asturias, Principado de;Con cierta facilidad;2017;31,3
03 Asturias, Principado de;Con cierta facilidad;2016;30
03 Asturias, Principado de;Con cierta facilidad;2015;30,9
03 Asturias, Principado de;Con cierta facilidad;2014;30,6
03 Asturias, Principado de;Con cierta facilidad;2013;34,3
03 Asturias, Principado de;Con cierta facilidad;2012;37,5
03 Asturias, Principado de;Con cierta facilidad;2011;38,5
03 Asturias, Principado de;Con cierta facilidad;2010;38,4
03 Asturias, Principado de;Con cierta facilidad;2009;36,9
03 Asturias, Principado de;Con cierta facilidad;2008;38,1
03 Asturias, Principado de;Con cierta facilidad;2007;35,3
03 Asturias, Principado de;Con cierta facilidad;2006;38,6
03 Asturias, Principado de;Con cierta facilidad;2005;34,4
03 Asturias, Principado de;Con cierta facilidad;2004;34,7
03 Asturias, Principado de;Con facilidad;2024;24,2
03 Asturias, Principado de;Con facilidad;2023;21,8
03 Asturias, Principado de;Con facilidad;2022;24,2
03 Asturias, Principado de;Con facilidad;2021;28,7
03 Asturias, Principado de;Con facilidad;2020;25,2
03 Asturias, Principado de;Con facilidad;2019;25,9
03 Asturias, Principado de;Con facilidad;2018;20,9
03 Asturias, Principado de;Con facilidad;2017;21,6
03 Asturias, Principado de;Con facilidad;2016;24,6
03 Asturias, Principado de;Con facilidad;2015;12,5
03 Asturias, Principado de;Con facilidad;2014;17,2
03 Asturias, Principado de;Con facilidad;2013;16,5
03 Asturias, Principado de;Con facilidad;2012;15,2
03 Asturias, Principado de;Con facilidad;2011;22,4
03 Asturias, Principado de;Con facilidad;2010;15,9
03 Asturias, Principado de;Con facilidad;2009;12,1
03 Asturias, Principado de;Con facilidad;2008;14,6
03 Asturias, Principado de;Con facilidad;2007;17,9
03 Asturias, Principado de;Con facilidad;2006;12,1
03 Asturias, Principado de;Con facilidad;2005;16,3
03 Asturias, Principado de;Con facilidad;2004;11
03 Asturias, Principado de;Con mucha facilidad;2024;4,3
03 Asturias, Principado de;Con mucha facilidad;2023;5,3
03 Asturias, Principado de;Con mucha facilidad;2022;4,2
03 Asturias, Principado de;Con mucha facilidad;2021;3,3
03 Asturias, Principado de;Con mucha facilidad;2020;2,6
03 Asturias, Principado de;Con mucha facilidad;2019;3,3
03 Asturias, Principado de;Con mucha facilidad;2018;2,2
03 Asturias, Principado de;Con mucha facilidad;2017;1,2
03 Asturias, Principado de;Con mucha facilidad;2016;2
03 Asturias, Principado de;Con mucha facilidad;2015;1
03 Asturias, Principado de;Con mucha facilidad;2014;0,2
03 Asturias, Principado de;Con mucha facilidad;2013;1,3
03 Asturias, Principado de;Con mucha facilidad;2012;1,4
03 Asturias, Principado de;Con mucha facilidad;2011;1,1
03 Asturias, Principado de;Con mucha facilidad;2010;1,8
03 Asturias, Principado de;Con mucha facilidad;2009;0,9
03 Asturias, Principado de;Con mucha facilidad;2008;1,1
03 Asturias, Principado de;Con mucha facilidad;2007;2,3
03 Asturias, Principado de;Con mucha facilidad;2006;1,8
03 Asturias, Principado de;Con mucha facilidad;2005;1,8
03 Asturias, Principado de;Con mucha facilidad;2004;0,3
03 Asturias, Principado de;No consta;2024;0,1
03 Asturias, Principado de;No consta;2023;0
03 Asturias, Principado de;No consta;2022;0,4
03 Asturias, Principado de;No consta;2021;..
03 Asturias, Principado de;No consta;2020;..
03 Asturias, Principado de;No consta;2019;0,2
03 Asturias, Principado de;No consta;2018;..
03 Asturias, Principado de;No consta;2017;..
03 Asturias, Principado de;No consta;2016;..
03 Asturias, Principado de;No consta;2015;..
03 Asturias, Principado de;No consta;2014;..
03 Asturias, Principado de;No consta;2013;..
03 Asturias, Principado de;No consta;2012;..
03 Asturias, Principado de;No consta;2011;..
03 Asturias, Principado de;No consta;2010;..
03 Asturias, Principado de;No consta;2009;..
03 Asturias, Principado de;No consta;2008;0,2
03 Asturias, Principado de;No consta;2007;..
03 Asturias, Principado de;No consta;2006;..
03 Asturias, Principado de;No consta;2005;..
03 Asturias, Principado de;No consta;2004;..
04 Balears, Illes;Con mucha dificultad;2024;5,6
04 Balears, Illes;Con mucha dificultad;2023;5,2
04 Balears, Illes;Con mucha dificultad;2022;5,7
04 Balears, Illes;Con mucha dificultad;2021;5,4
04 Balears, Illes;Con mucha dificultad;2020;9
